,city,country,property_name,state
2898,Kolkata,India,Transit House,West Bengal
3004,Kolkata,India,Tiger Inn,West Bengal
3028,Kolkata,India,The Samilton,West Bengal
3034,Kolkata,India,Treebo Platinum,West Bengal
3039,Kolkata,India,Hotel Royal Garden,West Bengal
3337,Kolkata,India,Hotel Sheldon,West Bengal
3521,Kolkata,India,Hotel Sawood International,West Bengal
3590,Kolkata,India,VISITEL - A BOUTIQUE HOTEL,West Bengal
3610,Kolkata,India,Waylink Guest House &amp; Banquet,West Bengal
3614,Kolkata,India,Vesper Guest House,West Bengal
3663,Kolkata,India,Vinayak Guest House,West Bengal
3704,Kolkata,India,Welcome Regency,West Bengal
52,Mumbai,India,Astoria Hotel,Maharashtra
93,Mumbai,India,"Arista Service Apartments,Andheri",Maharashtra
157,Mumbai,India,Castle Service Apartment - Goregaon,Maharashtra
179,Mumbai,India,Castle Service Apartment - Malad (W),Maharashtra
250,Mumbai,India,Central Guest House,Maharashtra
298,Mumbai,India,Bharat Avenue,Maharashtra
322,Mumbai,India,Castle Service Apartments Goregaon East,Maharashtra
325,Mumbai,India,Castle Service Apartment,Maharashtra
353,Mumbai,India,Bombay Nightout,Maharashtra
683,Mumbai,India,FabHotel Parimeet Navi Mumbai,Maharashtra
688,Mumbai,India,Famous Rest House,Maharashtra
755,Mumbai,India,Dragonfly Apartment,Maharashtra
836,Mumbai,India,Dreamhome Serviced Apartments,Maharashtra
847,Mumbai,India,Executive Service Apartments Goregaon West,Maharashtra
897,Mumbai,India,FAMOUS REST HOME,Maharashtra
937,Mumbai,India,Executive Lotus - service apartment,Maharashtra
943,Mumbai,India,Dreamland,Maharashtra
1132,Mumbai,India,Sohum Homes,Maharashtra
1263,Mumbai,India,Siesta Andheri Hotel,Maharashtra
1304,Mumbai,India,Suba Galaxy,Maharashtra
1326,Mumbai,India,The Beatle,Maharashtra
1332,Mumbai,India,Ssapphires Hospitalities (Sai Sapphire),Maharashtra
1363,Mumbai,India,Ssapphires Hospitalities (NAVRATNA),Maharashtra
1387,Mumbai,India,Ssapphires Hospitality - Apurva (B - 703),Maharashtra
1403,Mumbai,India,Symphony House,Maharashtra
1406,Mumbai,India,Ssapphires Hospitality - Apurva (A-604),Maharashtra
1505,Mumbai,India,CENTRAL GUEST HOUSE,Maharashtra
1518,Mumbai,India,Cormfort Stay - Royal Palm - Goregaon (East),Maharashtra
1522,Mumbai,India,Dev Shelters,Maharashtra
1536,Mumbai,India,Comfort Inn Heritage,Maharashtra
1621,Mumbai,India,Corporate Suite 2 -  Gagal Home,Maharashtra
1659,Mumbai,India,Compact Apartment 1 bhk by gagalhome,Maharashtra
1718,Mumbai,India,"Comfort Stay - Lokhandwala Circle, Andheri (West)",Maharashtra
1885,Mumbai,India,Hotel Parklane,Maharashtra
1976,Mumbai,India,Hotel Priyadarshani AC Dormitory (Male Only),Maharashtra
2036,Mumbai,India,Hotel Peninsula Grand,Maharashtra
2048,Mumbai,India,Hotel Plaza,Maharashtra
2228,Mumbai,India,Hotel Palace Residency,Maharashtra
2293,Mumbai,India,Trident Bandra Kurla,Maharashtra
2397,Mumbai,India,Theme Apartment  by gagal home,Maharashtra
2404,Mumbai,India,Trident Nariman Point,Maharashtra
2458,Mumbai,India,Treebo Sea Side,Maharashtra
2476,Mumbai,India,Treebo Arma Residency,Maharashtra
2542,Mumbai,India,The Signature Crest (Chandivali),Maharashtra
2581,Mumbai,India,The Regale by Tunga,Maharashtra
2600,Mumbai,India,Traveller's Inn Hotel,Maharashtra
2611,Mumbai,India,The Residence Hotel and  Apartments,Maharashtra
2690,Mumbai,India,The Resort,Maharashtra
2815,Mumbai,India,U Tan Resort,Maharashtra
2837,Mumbai,India,Treebo Legend,Maharashtra
2840,Mumbai,India,Treebo New Castle,Maharashtra
2845,Mumbai,India,"The Signature Crest,Powai",Maharashtra
2868,Mumbai,India,VAKRATUND HOTEL,Maharashtra
2902,Mumbai,India,TIM Grand,Maharashtra
2998,Mumbai,India,Treebo Midaas Comfort,Maharashtra
3025,Mumbai,India,The Shalimar Hotel,Maharashtra
3217,Mumbai,India,Hotel Royal Garden,Maharashtra
3269,Mumbai,India,Hotel Rosewood,Maharashtra
3395,Mumbai,India,Hotel Sea Lord,Maharashtra
3452,Mumbai,India,Hotel Sharda Sion,Maharashtra
3531,Mumbai,India,"The Signature Crest,Goregaon",Maharashtra
3706,Mumbai,India,Vivanta by Taj - President (A Taj Hotel),MAHARASHTRA
3743,Mumbai,India,Yadav Rest House - Male Only,Maharashtra
3917,Mumbai,India,West End Hotel,Maharashtra
3997,Mumbai,India,Hotel Silver Inn,Maharashtra
316,Patna,India,Buddha Heritage,Bihar
781,Patna,India,Executive Holiday,Bihar
843,Patna,India,Fortune Inn,Bihar
982,Patna,India,Space and Spice,Bihar
1331,Patna,India,The AVR Hotels and Banquets,Bihar
1530,Patna,India,City Hotel,Bihar
1625,Patna,India,Comfort Homes,Bihar
1792,Patna,India,HOTEL PATLIPUTRA ASHOK,Bihar
1849,Patna,India,Hotel Patliputra Exotica,Bihar
1878,Patna,India,Hotel President,Bihar
1922,Patna,India,Hotel Patliputra Nirvana,Bihar
2354,Patna,India,The SAI residence,Bihar
3241,Patna,India,Hotel Relax Inn,Bihar
3811,Patna,India,Vatika Premier Hotel,Bihar
